NAME	TITLE	SCORE	
OR52AB3		17.316954	
OR5P4		17.295849	
NEFL		17.295849	
SLC5A4		17.294136	
TRIM80		17.283997	
OR2L5		17.280668	
LOC483960		17.262808	
LOC102152113		17.25806	
CCDC190		17.257275	
SAMD3		17.250263	
GPR61		17.247183	
OR5AC26		17.235077	
OR52AB4		17.234331	
LOC119863887		17.232101	
OR51P1		17.231361	
C28H10orf120		17.226946	
CNR1		17.221125	
CYLC2		17.221125	
SPATA48		17.20412	
CYP11A1		17.197226	
OR9G4		17.19179	
LOC491652		17.189096	
OR10G6		17.181774	
OR52J3		17.181114	
OR5BH3		17.179798	
LOC484492		17.175224	
OR13D2		17.17263	
LOC491653		17.170696	
LOC485259		17.16813	
HTR1A		17.167492	
SLC17A6		17.139662	
LOC607647		17.139662	
OR10AG1		17.133121	
OR5M3		17.130182	
LOC478994		17.120905	
OR5B32		17.104578	
LOC481472		17.09691	
NPFFR2		17.094744	
OR14J1		17.094204	
CLUL1		17.08831	
SSTR3		17.08302	
LUZP4		17.082495	
OR56B1		17.074173	
OR4F25		17.074173	
KCNK18		17.072117	
GLRA4		17.068033	
CALB1		17.067526	
HTR3A		17.054039	
NKX2-3		17.051586	
OR8D4		17.049149	
OR5AC1		17.048178	
OR51H5		17.047691	
OR4S2		17.047207	
OR10D4		17.046724	
SLC17A3		17.04624	
LOC489206		17.04624	
LOC491793		17.045757	
GABRA6		17.041914	
NR2E1		17.041435	
OR5M9		17.03574	
MYOD1		17.035269	
PCDHB1		17.03292	
OR7R1		17.03292	
OR51M1		17.03105	
OR5G5		17.028725	
MBOAT4		17.02365	
OR10T1		17.02365	
TEX55		17.022734	
LOC483514		17.021362	
GP2		17.020452	
CAFA-T2R2		17.019997	
GDPD4		17.019543	
OR8B8		17.018635	
ZP4		17.01818	
LOC111092125		17.012333	
LOC100686261		17.012333	
KLHL1		17.012333	
GALR2		17.01055	
FUT9		16.995678	
OR51A8		16.9914	
LOC486765		16.982967	
OR13P3		16.982967	
LOC608992		16.982967	
SLC5A12		16.974693	
AFP		16.970615	
OR2D37		16.970615	
OR2T4D		16.966576	
LOC119870284		16.962574	
LOC100682875		16.962574	
LOC482217		16.962574	
OR52N4G		16.962574	
OR10A7		16.962574	
OR6K2		16.962574	
OR11H6		16.958607	
OR4P11		16.958607	
VRTN		16.954678	
PNLIPRP1		16.954678	
ST8SIA3		16.950783	
CYP4X1		16.950783	
LOC485141		16.950783	
GBX2		16.950783	
LOC100684683		16.943094	
DMRTA2		16.931814	
G6PC2		16.924454	
LOC485300		16.920818	
OR5M8		16.920818	
OR5G1		16.917215	
TAS2R10		16.917215	
LOC492181		16.913641	
LOC100687338		16.90309	
CCKAR		16.89963	
SLC10A4		16.89963	
OPRK1		16.896196	
OR10K2		16.896196	
MUC21		16.896196	
OR2AK3		16.88941	
OR6K8		16.88941	
CAMK1G		16.879427	
OR10J5		16.869667	
GPR139		16.86646	
LOC111098215		16.86646	
SLC22A8		16.86328	
PRDM14		16.86328	
LOC100687985		16.86328	
LOC611364		16.856985	
JAKMIP3		16.85078	
ADAM2		16.841637	
OR52AC1		16.838633	
LOC100688619		16.835648	
SLC7A9		16.832684	
OR10S1		16.829739	
OR52E22		16.829739	
MC4R		16.826815	
OR5J2B		16.823908	
SLC6A19		16.823908	
MROH7		16.821024	
LOC482569		16.821024	
HTR3C		16.821024	
OR51A4		16.818157	
LOC111094953		16.818157	
OR6P1		16.812479	
OR5J1		16.806875	
OR1X2		16.8041	
OR1AD1		16.79588	
MAGEB10		16.79588	
OR8AP1		16.793175	
CCDC54		16.793175	
OR5M5		16.787813	
OVCH1		16.787813	
OR2T22		16.779892	
LOC102157350		16.777283	
KCNJ1		16.777283	
NEUROD2		16.777283	
LOC100856208		16.772114	
TLX3		16.772114	
TAS2R38		16.772114	
LOC100856260		16.764471	
RPE65		16.756962	
GPR6		16.754488	
SERPINI2		16.747147	
OR3A10		16.742321	
MAGEB4		16.742321	
LOC100684820		16.73993	
OR5AL1		16.73993	
LOC102155522		16.737549	
OR8B3		16.737549	
OR52P1		16.728159	
OR5AS1		16.721247	
OR1M1B		16.721247	
OLIG2		16.718967	
OR5M3C		16.714443	
SLC22A13		16.703335	
LOC492050		16.703335	
ZIC1		16.701147	
OR51F1		16.69897	
STMND1		16.69037	
OR5P6		16.688246	
OR8S2		16.688246	
GPR101		16.688246	
LIPI		16.688246	
OR13G1		16.686132	
OR4F63		16.68403	
OR1P1		16.681936	
TFAP2D		16.671621	
CALHM3		16.669586	
OR4D1		16.669586	
LOC485282		16.669586	
OR2L3B		16.665546	
WEE2		16.645891	
PRSS55		16.643974	
ATOH1		16.640165	
OR4L1		16.638271	
VIP		16.632645	
OR5AR1		16.632645	
GCG		16.632645	
OR7C2		16.627089	
MCHR2		16.625252	
DRAXIN		16.623423	
PDC		16.614393	
OR6F1		16.61261	
OR7C1		16.610834	
FOXH1		16.607304	
LOC489315		16.6038	
LOC490131		16.6038	
OR51A10		16.6038	
OR7C1B		16.60206	
OR8G3		16.595167	
TBXT		16.576754	
LOC102152587		16.576754	
KCTD8		16.576754	
SHD		16.571865	
OR8D6		16.568636	
FAM71D		16.56703	
LOC609833		16.56703	
HCRTR2		16.565432	
LOC100686885		16.563837	
OR51H2		16.563837	
OR8U10		16.559092	
LIPF		16.559092	
PPEF2		16.555956	
LACTBL1		16.555956	
ASB17		16.554396	
SLC17A4		16.552841	
OR2AV1		16.548214	
GNRHR		16.546682	
OR13F1		16.545155	
LHX9		16.542118	
LOC482230		16.536106	
POU4F2		16.536106	
ACTRT3		16.531652	
OR10V1		16.525784	
LOC100683803		16.519993	
ODF3L2		16.5157	
OR52E2B		16.51145	
SOX3		16.51145	
TEX38		16.510042	
OR13L2		16.50724	
OR9I1		16.504456	
OR13F1B		16.504456	
OR52N4F		16.504456	
OR11I1		16.50307	
LOC111098413		16.50169	
OTP		16.498941	
TMIGD1		16.49485	
CPNE6		16.488117	
CAFA-T2R12		16.488117	
OR52N4		16.486782	
LOC485303		16.486782	
KLF14		16.484127	
OR5G3		16.482803	
OR10D5		16.478863	
FEZF2		16.478863	
PRR35		16.476254	
LOC102156298		16.476254	
LRRC43		16.474955	
LOC100684366		16.473661	
TAS2R5		16.4698	
C2CD4C		16.468521	
NOBOX		16.467245	
OR6B9		16.464706	
OR13C7F		16.463442	
AMBN		16.459671	
OR13P4		16.459671	
SLC35F4		16.457174	
DAZL		16.457174	
VENTX		16.457174	
OR5K1		16.455933	
OR52H4		16.455933	
OR10J2		16.454693	
CDK5R2		16.453457	
OR2L5C		16.449772	
OR2A7		16.44855	
OR6M1		16.441292	
OR51A24		16.43652	
OR51A6		16.434153	
OR51G1		16.434153	
CCDC27		16.430626	
RPL32		16.430626	
OR51V21		16.430626	
PRR27		16.428291	
OR5D17		16.428291	
TH		16.427128	
FAM71B		16.425968	
KCNK15		16.424812	
FOXB2		16.419075	
KIF2B		16.417936	
BRINP3		16.417936	
ZNF114		16.416801	
BMP10		16.415668	
SPZ1		16.413412	
LOC100687902		16.413412	
ZMYND12		16.413412	
LOC611806		16.41117	
OR4C136		16.41117	
OR1A1		16.410051	
MGAT4D		16.406713	
OR5AQ1		16.405607	
OR2T4C		16.404503	
LOC100683057		16.404503	
SLC10A2		16.401209	
CHIA		16.39794	
LOC485299		16.396856	
OR51AG3		16.395775	
PATL2		16.39362	
TRIM50		16.379864	
OPN1LW		16.37366	
LOC489332		16.37161	
OR2L17		16.368557	
PRSS38		16.365522	
LOC480186		16.365522	
TLX1		16.363512	
LOC100688320		16.36251	
HMGB4		16.360514	
FOXB1		16.359518	
OR2W11		16.348722	
TEX29		16.344862	
OR6B1		16.339134	
GSX1		16.326057	
LYPD4		16.321482	
BARHL2		16.321482	
CCDC70		16.319664	
ANXA10		16.316053	
LOC102157013		16.313364	
LOC111094768		16.31158	
LOC100685083		16.309803	
OR52N2		16.308918	
LOC481603		16.308035	
CFAP58		16.308035	
LOC102155716		16.305395	
LOC482008		16.299295	
OR5B31		16.298431	
OR51G4		16.288193	
LOC482755		16.284832	
OR2Z2		16.283163	
HHLA1		16.281498	
LOC100686515		16.280668	
PLP2		16.27984	
LOC106560070		16.279015	
OLIG3		16.270025	
OR2Z1		16.266802	
SKOR2		16.2644	
ATP6V1E2		16.262808	
OR51AC4		16.261219	
OR52M2		16.258848	
OR8H4		16.254145	
OR52AE1		16.254145	
C24H20orf85		16.24949	
OR2B7		16.244888	
LOC607634		16.243364	
OR52N2G		16.241089	
OR4D11		16.238071	
CRX		16.235077	
GLRA3		16.234331	
OR2D4		16.232843	
OR2R1		16.231361	
LOC478649		16.229885	
LHX3		16.229149	
OPN5		16.226946	
OR52X1		16.216812	
OR4D9		16.216097	
PGA		16.215384	
KCNV1		16.215384	
LOC100685252		16.211832	
OR10D5B		16.20691	
TBC1D21		16.205511	
OR5W2		16.20204	
OR6X1		16.20135	
LOC100684238		16.200659	
OR7G13		16.19997	
LHX5		16.198597	
PSMA8		16.195179	
OR4X2		16.192465	
LOC483676		16.192465	
LOC119873954		16.189768	
MMP26		16.189096	
LOC610748		16.184422	
TEKT4		16.184422	
FAM216B		16.175875	
LOC100684947		16.166853	
IZUMO3		16.164309	
OR2L3		16.163675	
CE9		16.163044	
SAXO1		16.16241	
OR8K86		16.16241	
OR1R1		16.155523	
LOC482172		16.155523	
LOC482553		16.153044	
HIPK4		16.152428	
UNCX		16.14874	
OR7A23		16.143875	
CTRB2		16.14327	
OR2T4B		16.14026	
OR5D14		16.139063	
LOC100684691		16.136082	
OR5J2		16.134895	
TMEM255B		16.130182	
LOC111098796		16.128428	
NPVF		16.127262	
OTUD6A		16.126678	
KCNC1		16.12263	
TGM7		16.12033	
GPR26		16.119186	
GMNC		16.118616	
XKR7		16.116907	
GABRR2		16.11464	
OR52AB2		16.11351	
NOX3		16.10958	
SVOP		16.108463	
DUSP21		16.106792	
OR4D5		16.102373	
CA1		16.101824	
PPP1R42		16.092588	
GABRD		16.090445	
TRIM58		16.087246	
STMN4		16.086716	
OR52AD1		16.086185	
ODF4		16.083546	
OR51AI5		16.080921	
OR7A67		16.07572	
LOC612611		16.07007	
PHOX2B		16.062984	
LOC100686200		16.062483	
OR51G2		16.057001	
LOC119864128		16.056505	
GDF7		16.054039	
OR4D9C		16.048178	
LOC119871983		16.040958	
DPPA2		16.034798	
LRIT2		16.033857	
NCAN		16.031984	
LOC479817		16.030119	
OR4C15		16.029654	
LOC119869006		16.025488	
COLEC10		16.02365	
LOC102154070		16.017729	
GRXCR1		16.017277	
OR5M12		16.010996	
DNAJB3		16.010105	
OR51B5		16.00087	
OR2Z3		16.0	
LRRC52		16.0	
OR13C7G		15.995679	
OR5T8		15.995679	
LOC403898		15.9914	
LOC611592		15.982966	
HOXC11		15.97881	
RCVRN		15.97881	
OR2AT2		15.97881	
OR7E153		15.97881	
CHRND		15.97881	
LOC119871203		15.974694	
LOC608349		15.970616	
SLC22A7		15.970616	
OR8K1		15.962573	
SPATS1		15.954677	
HMX2		15.954677	
OR7G5		15.946921	
SPACA5		15.931814	
PPP1R2C		15.931814	
FKBP6		15.924453	
LRTM1		15.920818	
KCNV2		15.917214	
ATP4B		15.91364	
LOC481841		15.90309	
OR13C11C		15.90309	
OR7A74		15.90309	
OR6N1		15.90309	
TGIF2LX		15.90309	
OR52K1B		15.89963	
OR6C69		15.89963	
OR6AE1		15.896196	
LOC119870335		15.89279	
MMP20		15.89279	
LOC100684124		15.89279	
LOC492173		15.88941	
NKX2-2		15.88941	
ACR		15.88941	
SHOX		15.886057	
OR13A1		15.879426	
LOC610995		15.876148	
OR6S1		15.872895	
PAX2		15.872895	
LOC488617		15.872895	
CRYBA1		15.869666	
LHX1		15.866461	
LRRC69		15.866461	
LOC491914		15.863279	
OR2W3		15.860121	
LOC102153548		15.853872	
RAET1E		15.8507805	
LOC482199		15.8507805	
GPR12		15.847712	
LOC100687280		15.844664	
LOC111092786		15.841638	
OR51H1		15.841638	
LOC100687750		15.832683	
LOC102152482		15.821023	
LOC611691		15.821023	
OR4G18		15.818156	
TSHB		15.818156	
GAD2		15.815309	
PAX7		15.815309	
LOC119868435		15.815309	
OR6C27		15.812479	
LOC490585		15.801343	
GUCA1C		15.798603	
LOC476827		15.79588	
DACH2		15.793174	
OR7C19		15.790485	
SPATA22		15.787812	
ZACN		15.777284	
CTSL3		15.777284	
OR6M6		15.777284	
DRD3		15.772113	
OR52K1		15.769551	
LOC100683252		15.764472	
CCL1		15.761954	
LOC100685004		15.761954	
OR5H13		15.756962	
SUN5		15.752027	
TMEM212		15.74958	
LOC100687394		15.747147	
PPP1R32		15.744727	
OR5D18		15.739928	
LOC609095		15.739928	
OR6D5		15.735182	
EVX2		15.732828	
LOC100685577		15.723538	
C1QL2		15.716699	
RD3L		15.716699	
OR9M1		15.707744	
LOC100855615		15.707744	
LOC102156856		15.705534	
LOC100684591		15.701147	
OR51K1		15.69897	
OR8A1		15.69897	
TCF21		15.694649	
NKX2-8		15.694649	
OR5AP2		15.69037	
GJD2		15.69037	
OR4P6		15.686132	
OR5B3B		15.679853	
GDF2		15.677781	
LOC102154218		15.675717	
LOC485741		15.673664	
ANKRD60		15.673664	
LOC607515		15.67162	
PAX4		15.661544	
TEX13D		15.655608	
LOC102154648		15.655608	
VSX1		15.649752	
DRD5		15.645891	
OR5B33		15.643974	
PTCHD4		15.643974	
GJE1		15.636388	
HOATZ		15.634512	
CYLC1		15.634512	
ACTL8		15.628932	
OTX2		15.627088	
LOC612175		15.627088	
OPCML		15.621602	
GABRA5		15.621602	
THEG		15.621602	
OR2D3G		15.621602	
OR10J14		15.621602	
ASMT		15.621602	
SLBP2		15.617983	
OR9G3		15.61261	
LOC485221		15.61261	
OR52A1		15.607303	
MARCHF11		15.603801	
STAR		15.600327	
LOC478844		15.59176	
LOC111091930		15.58838	
TMEM270		15.58838	
TLE7		15.585027	
TMEM247		15.585027	
LOC100687519		15.585027	
LOC100684472		15.580044	
SEPTIN12		15.575118	
C2H16orf78		15.573489	
OR52E2		15.570248	
PTF1A		15.568636	
OR13J1		15.565431	
DBX1		15.562249	
BIRC7		15.554396	
BTG4		15.546681	
OR10AB3		15.545156	
CLRN2		15.536107	
ACP4		15.534617	
PRDM12		15.533133	
NANOG		15.533133	
LIN28B		15.530178	
TMEM225		15.528708	
NKX2-6		15.528708	
LOC486566		15.521434	
BARHL1		15.519993	
OR52P2		15.517126	
OR13C7I		15.511449	
DEFB129		15.505845	
LOC102154527		15.504456	
LOC100687309		15.50307	
OR13C4		15.490797	
OR56B2D		15.488116	
LOC100688545		15.488116	
OR5T2		15.482804	
SIGLECL1		15.480172	
PRSS37		15.477556	
LOC100686518		15.4762535	
LOC100684191		15.4762535	
OR8B100		15.464705	
LEMD1		15.464705	
OR9G1		15.460924	
LEUTX		15.458421	
MCIDAS		15.458421	
SPATC1L		15.458421	
NPSR1		15.457174	
OR10T2		15.457174	
LOC100682806		15.454693	
OR7A17		15.449772	
RGS21		15.443698	
LOC611596		15.436519	
OR56A4B		15.432974	
LOC100685466		15.429457	
DNAAF6		15.424812	
OR7A52		15.424812	
OR10Z1		15.423658	
RXFP3		15.421361	
LOC111094463		15.416801	
HAPLN2		15.414539	
LOC607435		15.413413	
OC90		15.412289	
LOC478196		15.404504	
BRS3		15.39794	
FOXL2		15.382999	
BPIFA2		15.378823	
LOC100684236		15.375718	
OR4N5		15.368556	
HMX3		15.365522	
PRL		15.364516	
TPH2		15.363512	
CSTL1		15.363512	
LOC119864989		15.356547	
LOC106559281		15.341989	
OR7A53		15.341989	
GTSF2		15.341035	
LRRC74A		15.339134	
LOC100685259		15.339134	
BPIFA3		15.327902	
OR6C4		15.313364	
LOC102154012		15.29243	
PDCL2		15.291579	
PRDM13		15.2865095	
LOC106558682		15.274905	
LOC111090505		15.274088	
IQCF1		15.274088	
FOXR1		15.270835	
CAPN9		15.267606	
TEX36		15.264401	
OR13C8		15.262807	
OR4B1E		15.261219	
LOC489328		15.257275	
FAM243A		15.2479515	
MYF5		15.244125	
LOC100684060		15.241845	
LOC111089978		15.240333	
OR5B3		15.238072	
VN1R4		15.237322	
KLF17		15.235077	
OR4E1		15.235077	
OR4A2		15.233587	
OR4P32		15.227678	
FOXR2		15.224026	
GHSR		15.222573	
OR4N2		15.2218485	
LOC484089		15.221126	
IQCF3		15.21254	
TEX43		15.207608	
OR1K1		15.20412	
OR51S1		15.20412	
OR5G1B		15.20066	
IQCF5		15.20066	
BMP15		15.196543	
IZUMO2		15.195179	
LOC111091690		15.195179	
CST8		15.188425	
LRIT1		15.1864195	
CCDC60		15.1864195	
LOC100855990		15.185087	
OR5B24		15.185087	
SP9		15.181114	
GFRAL		15.17134	
LOC491522		15.166853	
GKN1		15.159894	
DAND5		15.149967	
KCNA10		15.143875	
LOC111098978		15.137273	
LCN6		15.131355	
OR4F34		15.131355	
MTNR1B		15.130768	
VAX1		15.126679	
OR6K5		15.124939	
IL22		15.114074	
LOC612517		15.113509	
NPPB		15.112946	
LOC102156538		15.112946	
CNPY1		15.112946	
HMX1		15.112383	
RTP2		15.107905	
OR51K2		15.10513	
OR4N2B		15.102923	
NKX1-2		15.095284	
CABP4		15.094204	
OR51V1B		15.079355	
LOC111094904		15.079355	
OR4P4		15.078834	
PDX1		15.078834	
C32H4orf17		15.078314	
IQCF2		15.074172	
OR56A4C		15.072117	
LOC491803		15.07007	
LOC100856000		15.069051	
LOC111096463		15.0685425	
OR5T1B		15.068034	
OR52Z1		15.064997	
OR10AB2		15.058489	
OR7A71		15.057496	
CDCP2		15.055517	
ISX		15.054531	
DDX43		15.052567	
NEUROD6		15.047692	
LOC119877716		15.040482	
OR10W1		15.036684	
CACNG3		15.035269	
LOC476356		15.034799	
ADAD2		15.034328	
LOC541568		15.031517	
OR5B2B		15.030584	
GPX5		15.024569	
ODF1		15.019997	
OR51AB4		15.019542	
TSGA10IP		15.016374	
OR5F2		15.015923	
LOC119870361		15.009217	
OR6Z3		15.002614	
PRSS2		15.0	
MEIKIN		15.0	
IL4		14.995679	
LOC100688026		14.987163	
LOC611660		14.982966	
OR8U8		14.97881	
SNTN		14.974694	
OR7A63		14.966577	
LOC100687968		14.958608	
LOC100687737		14.954677	
CD207		14.954677	
LOC100684531		14.950782	
LOC483905		14.950782	
LOC119864887		14.946921	
LOC100855717		14.931814	
OR7A54		14.931814	
LOC102156348		14.931814	
CA7		14.928118	
CRISP1		14.928118	
TEX50		14.917214	
PGB1		14.917214	
ONECUT3		14.91364	
CLDN25		14.90309	
OR56A4		14.90309	
LOC100687413		14.89963	
LOC609921		14.89963	
LOC100684684		14.89963	
OR52N4K		14.896196	
CAFA-T2R43		14.896196	
LOC485342		14.896196	
LDLRAD1		14.89279	
GABRR3		14.89279	
FGF8		14.886057	
LOC119870529		14.886057	
OR6A2		14.886057	
TMCO2		14.886057	
CACNG2		14.882729	
OR10H1		14.882729	
RTBDN		14.882729	
LOC611172		14.879426	
POU4F3		14.879426	
FAM47E		14.876148	
IL21		14.869666	
OR51A1		14.869666	
LOC100685230		14.866461	
OR13C7H		14.853872	
GHRHR		14.853872	
SOX11		14.853872	
NTSR2		14.853872	
SUN3		14.853872	
LOC100687210		14.853872	
LOC485275		14.853872	
CDX2		14.853872	
MARCHF4		14.853872	
OR10V10		14.8507805	
BSX		14.847712	
TTC9B		14.847712	
ACTL9		14.847712	
OR8B58		14.844664	
TMEM202		14.844664	
MYOG		14.841638	
LOC119863894		14.841638	
LOC100683825		14.841638	
LOC102154497		14.841638	
NEUROG3		14.838632	
LOC100686461		14.838632	
TEX35		14.835648	
LOC486972		14.835648	
OR51B18		14.829739	
FSCN3		14.826814	
GALP		14.821023	
RTP1		14.806875	
UPK1A		14.806875	
PATE2		14.801343	
SMCP		14.79588	
LOC102155320		14.793174	
DEFB127		14.777284	
OR5L1B		14.777284	
SYNDIG1L		14.774691	
DEFB110		14.772113	
GATA4		14.767004	
LOC100683747		14.761954	
OR2T4G		14.754487	
CTXN2		14.754487	
OR5B2		14.74958	
OR8B9		14.74958	
BSPH1		14.747147	
OR3A1H		14.744727	
LOC100683500		14.742321	
OR8U9		14.739928	
OR51R1		14.739928	
LOC100688749		14.735182	
FIGLA		14.730487	
GTSF1L		14.728158	
CAPZA3		14.7189665	
OR5C1		14.7189665	
NEUROD4		14.716699	
HESX1		14.716699	
LOC483612		14.712198	
LOC119870343		14.709966	
LOC612524		14.709966	
GPX6		14.703335	
LOC100689000		14.701147	
SMIM23		14.692504	
LOC100686929		14.692504	
OR6B2C		14.681936	
LOC111095955		14.675717	
OR7A61		14.67162	
KLK1		14.661544	
LOC119876707		14.659555	
LOC111097134		14.649752	
LOC100682825		14.642065	
OR7A55		14.636388	
DEFB125		14.634512	
LOC100688450		14.627088	
LOC100688693		14.627088	
OR6C83		14.625252	
OPALIN		14.625252	
LOC100683599		14.625252	
MYL10		14.616184	
LOC119867452		14.616184	
TEX46		14.614394	
LOC111094796		14.610834	
SPATA19		14.60206	
LOC492024		14.598599	
LOC479874		14.590067	
LOC102155191		14.58838	
TMEM207		14.58838	
LOC100687982		14.58336	
OR7G8		14.581698	
OR5T1		14.580044	
LOC119869393		14.578396	
DEFB116		14.573489	
LOC119870701		14.568636	
LOC102151523		14.546681	
LOC100685384		14.543634	
NKX1-1		14.537602	
CIB3		14.518558	
OR4H12		14.5157	
LOC100686302		14.5157	
LOC119871940		14.511449	
OR56A1		14.508638	
OR4D2C		14.507239	
ANKRD33		14.496209	
LOC119863952		14.49485	
ROPN1		14.489455	
LOC119870570		14.486782	
LOC475522		14.484126	
IL31		14.482804	
CRYBB2		14.478862	
LOC100684171		14.464705	
LOC100688550		14.464705	
LOC606793		14.45967	
LOC100685159		14.453457	
LOC102151359		14.450996	
FABP6		14.443698	
SCGN		14.443698	
DPP10-2		14.438899	
LELP1		14.436519	
LDHC		14.431798	
IL3		14.428291	
LOC111092803		14.428291	
DEFB128		14.424812	
LOC111091913		14.423658	
OR52E8C		14.422508	
LOC100686593		14.417936	
LOC483946		14.416801	
ATP5ME		14.4156685	
DEFB119		14.402305	
LYZL4		14.396855	
LOC100685303		14.386158	
OR7A56		14.381952	
FGF3		14.37366	
LOC102153584		14.369572	
LOC100686824		14.364516	
OR5M13		14.362511	
LOC609192		14.356547	
OR51Q1F		14.350665	
C8H14orf180		14.347754	
LOC100683819		14.345823	
OR6B2		14.340084	
LOC102153485		14.325139	
OR52R1		14.317855	
LOC100682826		14.314259	
CCDC196		14.310691	
OR5AC27		14.299296	
LOC100683646		14.299296	
CDX4		14.29585	
PSPN		14.294136	
CST11		14.279015	
LOC100686367		14.272459	
OR7A57		14.2692175	
LOC488494		14.262807	
CRYGB		14.260427	
LOC100687462		14.247184	
IFNL3		14.244887	
TAFA1		14.243364	
SCGB3A2		14.241088	
LOC102153310		14.238824	
CCDC179		14.237322	
OR6K4		14.237322	
LOC100687642		14.236572	
LOC100683403		14.232102	
TSPO2		14.222573	
LOC611891		14.209011	
LOC106558389		14.19997	
OR7A60		14.19791	
LOC119870273		14.195861	
LOC100855744		14.191789	
LOC485451		14.183759	
LOC102157316		14.181114	
C6H16orf92		14.179798	
OR10AG68		14.178487	
WFDC10A		14.175874	
C27H12orf54		14.173925	
BPIFA1		14.173278	
LOC100687791		14.1700535	
NRG4		14.166216	
OR5L1C		14.162412	
OR7A69		14.1605215	
SPACA3		14.159894	
OR6M2B		14.158641	
OR7A64		14.158641	
LOC102156866		14.158015	
OR4A47		14.156767	
LOC100683387		14.153045	
GAST		14.149967	
LOC119866685		14.14752	
ZDHHC19		14.145694	
LOC100684393		14.142065	
LOC100685615		14.141462	
LOC119869300		14.140262	
OR4S1B		14.139662	
LIM2		14.136677	
OR9K2		14.120904	
LOC485485		14.116339	
DEFB118		14.11182	
RD3		14.11182	
LOC100685047		14.10902	
LOC100688787		14.106793	
LY6L		14.106238	
LOC119866245		14.093665	
TMEM269		14.087778	
LOC100683484		14.080399	
LOC111096775		14.075204	
LOC608757		14.064493	
TFF2		14.048662	
